age_years,count,share
29,2,0.00022
30,7,0.00076
31,11,0.0012
32,18,0.00196
33,23,0.00251
34,39,0.00426
35,36,0.00393
36,67,0.00731
37,64,0.00699
38,101,0.01102
39,106,0.01157
40,151,0.01648
41,136,0.01485
42,185,0.02019
43,209,0.02281
44,240,0.0262
45,234,0.02554
46,264,0.02882
47,252,0.02751
48,284,0.031
49,289,0.03155
50,311,0.03395
51,321,0.03504
52,329,0.03591
53,332,0.03624
54,338,0.0369
55,322,0.03515
56,318,0.03471
57,339,0.037
58,299,0.03264
59,300,0.03275
60,301,0.03286
61,271,0.02958
62,278,0.03035
63,244,0.02663
64,256,0.02794
65,219,0.02391
66,219,0.02391
67,187,0.02041
68,169,0.01845
69,169,0.01845
70,146,0.01594
71,128,0.01397
72,115,0.01255
73,94,0.01026
74,87,0.0095
75,70,0.00764
76,54,0.00589
77,46,0.00502
78,40,0.00437
79,29,0.00317
80,24,0.00262
81,18,0.00196
82,14,0.00153
83,12,0.00131
84,8,0.00087
85,8,0.00087
86,8,0.00087
87,5,0.00055
88,2,0.00022
89,5,0.00055
90,1,0.00011
91,3,0.00033
92,1,0.00011
93,0,0.0
94,1,0.00011
95,0,0.0
96,1,0.00011
97,0,0.0
98,1,0.00011
