congress,convened,bioguide,name,state,senate_class,party,party_raw,birthday,age_years,age_days,age_exact
1,1789-03-04,B000226,Richard Bassett,DE,2,Democratic-Republican,Anti-Administration,1745-04-02,43,336,43.9205
1,1789-03-04,D000013,Tristram Dalton,MA,1,Federalist,Pro-Administration,1738-05-28,50,280,50.7671
1,1789-03-04,E000155,Jonathan Elmer,NJ,1,Federalist,Pro-Administration,1745-11-29,43,95,43.2603
1,1789-03-04,F000100,William Few,GA,2,Democratic-Republican,Anti-Administration,1748-06-08,40,269,40.737
1,1789-03-04,H000368,Benjamin Hawkins,NC,3,Federalist,Pro-Administration,1754-08-15,34,201,34.5507
1,1789-03-04,J000182,William Samuel Johnson,CT,3,Federalist,Pro-Administration,1727-10-07,61,148,61.4055
1,1789-03-04,J000198,Samuel Johnston,NC,2,Federalist,Pro-Administration,1733-12-15,55,79,55.2164
1,1789-03-04,L000201,Richard Henry Lee,VA,2,Democratic-Republican,Anti-Administration,1732-01-20,57,43,57.1178
1,1789-03-04,M000031,William Maclay,PA,1,Democratic-Republican,Anti-Administration,1737-07-20,51,227,51.6219
1,1789-03-04,M000985,Robert Morris,PA,3,Federalist,Pro-Administration,1734-01-20,55,43,55.1178
1,1789-03-04,P000102,William Paterson,NJ,2,Federalist,Pro-Administration,1745-12-24,43,70,43.1918
1,1789-03-04,C000185,Charles Carroll,MD,1,Federalist,Pro-Administration,1737-09-19,51,166,51.4548
1,1789-03-04,E000147,Oliver Ellsworth,CT,1,Federalist,Pro-Administration,1745-04-29,43,309,43.8466
1,1789-03-04,R000091,George Read,DE,1,Federalist,Pro-Administration,1733-09-18,55,167,55.4575
1,1789-03-04,S001009,Caleb Strong,MA,2,Federalist,Pro-Administration,1745-01-09,44,54,44.1479
1,1789-03-04,W000633,Paine Wingate,NH,2,Democratic-Republican,Anti-Administration,1739-05-14,49,294,49.8055
1,1789-03-04,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,35,356,35.9753
1,1789-03-04,L000067,John Langdon,NH,3,Democratic-Republican,Democratic Republican,1741-06-26,47,251,47.6877
1,1789-03-04,S000154,Philip John Schuyler,NY,1,Federalist,Pro-Administration,1733-11-20,55,104,55.2849
1,1789-03-04,B001186,Pierce Butler,SC,2,Democratic-Republican,Democratic Republican,1744-07-11,44,236,44.6466
1,1789-03-04,K000212,Rufus King,NY,3,Federalist,Federalist,1755-03-24,33,345,33.9452
2,1791-10-24,B000226,Richard Bassett,DE,2,Democratic-Republican,Anti-Administration,1745-04-02,46,205,46.5601
2,1791-10-24,F000100,William Few,GA,2,Democratic-Republican,Anti-Administration,1748-06-08,43,138,43.377
2,1791-10-24,H000368,Benjamin Hawkins,NC,3,Federalist,Pro-Administration,1754-08-15,37,70,37.1913
2,1791-10-24,J000182,William Samuel Johnson,CT,3,Federalist,Pro-Administration,1727-10-07,64,17,64.0464
2,1791-10-24,J000198,Samuel Johnston,NC,2,Federalist,Pro-Administration,1733-12-15,57,313,57.8575
2,1791-10-24,L000201,Richard Henry Lee,VA,2,Democratic-Republican,Anti-Administration,1732-01-20,59,277,59.7589
2,1791-10-24,M000985,Robert Morris,PA,3,Federalist,Pro-Administration,1734-01-20,57,277,57.7589
2,1791-10-24,D000324,Philemon Dickinson,NJ,2,Federalist,Pro-Administration,1739-04-05,52,202,52.5519
2,1791-10-24,B001133,Aaron Burr,NY,1,Republican,Republican,1756-02-06,35,260,35.7123
2,1791-10-24,C000009,George Cabot,MA,1,Federalist,Federalist,1752-12-03,38,325,38.8904
2,1791-10-24,C000185,Charles Carroll,MD,1,Other,,1737-09-19,54,35,54.0956
2,1791-10-24,E000147,Oliver Ellsworth,CT,1,Federalist,Federalist,1745-04-29,46,178,46.4863
2,1791-10-24,R000091,George Read,DE,1,Other,,1733-09-18,58,36,58.0984
2,1791-10-24,R000350,Moses Robinson,VT,1,Democratic-Republican,Anti-Administration,1741-03-22,50,216,50.5902
2,1791-10-24,S000349,Roger Sherman,CT,3,Federalist,Pro-Administration,1721-04-19,70,188,70.5137
2,1791-10-24,S001009,Caleb Strong,MA,2,Federalist,Pro-Administration,1745-01-09,46,288,46.789
2,1791-10-24,W000633,Paine Wingate,NH,2,Democratic-Republican,Anti-Administration,1739-05-14,52,163,52.4454
2,1791-10-24,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,38,225,38.6148
2,1791-10-24,L000067,John Langdon,NH,3,Democratic-Republican,Democratic Republican,1741-06-26,50,120,50.3279
2,1791-10-24,F000313,Theodore Foster,RI,1,Federalist,Federalist,1752-04-29,39,178,39.4863
2,1791-10-24,R000550,John Rutherfurd,NJ,1,Federalist,Federalist,1760-09-20,31,34,31.0929
2,1791-10-24,B001186,Pierce Butler,SC,2,Democratic-Republican,Democratic Republican,1744-07-11,47,105,47.2869
2,1791-10-24,S000805,Joseph Stanton,RI,2,Democratic-Republican,Anti-Administration,1739-07-19,52,97,52.265
2,1791-10-24,B000745,Stephen Row Bradley,VT,3,Other,,1754-02-20,37,246,37.674
2,1791-10-24,M000858,James Monroe,VA,1,Democratic-Republican,Anti-Administration,1758-04-28,33,179,33.4891
2,1791-10-24,K000212,Rufus King,NY,3,Federalist,Federalist,1755-03-24,36,214,36.5847
3,1793-12-02,H000368,Benjamin Hawkins,NC,3,Federalist,Pro-Administration,1754-08-15,39,109,39.2986
3,1793-12-02,M000985,Robert Morris,PA,3,Federalist,Pro-Administration,1734-01-20,59,316,59.8658
3,1793-12-02,B001133,Aaron Burr,NY,1,Republican,Republican,1756-02-06,37,299,37.8192
3,1793-12-02,C000009,George Cabot,MA,1,Federalist,Federalist,1752-12-03,40,364,40.9973
3,1793-12-02,E000147,Oliver Ellsworth,CT,1,Federalist,Federalist,1745-04-29,48,217,48.5945
3,1793-12-02,R000091,George Read,DE,1,Other,,1733-09-18,60,75,60.2055
3,1793-12-02,R000350,Moses Robinson,VT,1,Democratic-Republican,Anti-Administration,1741-03-22,52,255,52.6986
3,1793-12-02,S000349,Roger Sherman,CT,3,Federalist,Pro-Administration,1721-04-19,72,227,72.6219
3,1793-12-02,P000473,Richard Potts,MD,1,Federalist,Federalist,1753-07-19,40,136,40.3726
3,1793-12-02,B000739,William Bradford,RI,2,Federalist,Federalist,1729-11-04,64,28,64.0767
3,1793-12-02,F000368,Frederick Frelinghuysen,NJ,2,Federalist,Federalist,1753-04-13,40,233,40.6384
3,1793-12-02,M000828,Stephen Mix Mitchell,CT,3,Federalist,Pro-Administration,1743-12-09,49,358,49.9808
3,1793-12-02,S001009,Caleb Strong,MA,2,Federalist,Federalist,1745-01-09,48,327,48.8959
3,1793-12-02,V000104,John Vining,DE,2,Federalist,Federalist,1758-12-23,34,344,34.9425
3,1793-12-02,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,40,264,40.7233
3,1793-12-02,L000067,John Langdon,NH,3,Democratic-Republican,Democratic Republican,1741-06-26,52,159,52.4356
3,1793-12-02,F000313,Theodore Foster,RI,1,Federalist,Federalist,1752-04-29,41,217,41.5945
3,1793-12-02,R000550,John Rutherfurd,NJ,1,Federalist,Federalist,1760-09-20,33,73,33.2
3,1793-12-02,B000929,John Brown,KY,2,Republican,Republican,1757-09-12,36,81,36.2219
3,1793-12-02,L000364,Samuel Livermore,NH,2,Federalist,Federalist,1732-05-14,61,202,61.5534
3,1793-12-02,J000017,James Jackson,GA,2,Republican,Republican,1757-09-21,36,72,36.1973
3,1793-12-02,B001186,Pierce Butler,SC,2,Republican,Republican,1744-07-11,49,144,49.3945
3,1793-12-02,B000745,Stephen Row Bradley,VT,3,Other,,1754-02-20,39,285,39.7808
3,1793-12-02,M000858,James Monroe,VA,1,Democratic-Republican,Anti-Administration,1758-04-28,35,218,35.5973
3,1793-12-02,K000212,Rufus King,NY,3,Federalist,Federalist,1755-03-24,38,253,38.6932
3,1793-12-02,T000086,John Taylor,VA,2,Other,,1753-12-19,39,348,39.9534
4,1795-12-07,B001133,Aaron Burr,NY,1,Republican,Republican,1756-02-06,39,304,39.8329
4,1795-12-07,C000009,George Cabot,MA,1,Federalist,Federalist,1752-12-03,43,4,43.0109
4,1795-12-07,E000147,Oliver Ellsworth,CT,1,Federalist,Federalist,1745-04-29,50,222,50.6066
4,1795-12-07,R000350,Moses Robinson,VT,1,Democratic-Republican,Anti-Administration,1741-03-22,54,260,54.7104
4,1795-12-07,P000473,Richard Potts,MD,1,Federalist,Federalist,1753-07-19,42,141,42.3852
4,1795-12-07,B000739,William Bradford,RI,2,Federalist,Federalist,1729-11-04,66,33,66.0902
4,1795-12-07,F000368,Frederick Frelinghuysen,NJ,2,Federalist,Federalist,1753-04-13,42,238,42.6503
4,1795-12-07,S001009,Caleb Strong,MA,2,Federalist,Federalist,1745-01-09,50,332,50.9096
4,1795-12-07,V000104,John Vining,DE,2,Federalist,Federalist,1758-12-23,36,349,36.9562
4,1795-12-07,T000107,Henry Tazewell,VA,2,Republican,Republican,1753-11-27,42,10,42.0273
4,1795-12-07,B000474,William Bingham,PA,3,Federalist,Federalist,1752-03-08,43,274,43.7486
4,1795-12-07,G000526,James Gunn,GA,3,Federalist,Federalist,1753-03-13,42,269,42.735
