congress,convened,year,seats,seats_with_age,missing_birthday,approx_age,median_age,mean_age,min_age,max_age
1,1789-03-04,1789,24,24,0,2,47.0,46.9,33,61
2,1791-10-24,1791,28,28,0,1,46.5,47.0,31,70
3,1793-12-02,1793,30,30,0,3,42.0,45.8,33,72
4,1795-12-07,1795,31,31,0,5,43.0,45.3,33,66
5,1797-05-15,1797,35,35,0,8,44.0,44.5,30,67
6,1799-12-02,1799,33,33,0,5,45.0,45.1,30,67
7,1801-12-07,1801,36,36,0,3,45.0,45.2,30,69
8,1803-10-17,1803,36,36,0,3,46.0,47.0,30,69
9,1805-12-02,1805,35,35,0,3,50.0,48.5,32,71
10,1807-10-26,1807,37,37,0,6,48.0,49.2,35,73
11,1809-05-22,1809,39,39,0,7,49.0,48.7,29,74
12,1811-11-04,1811,35,35,0,5,46.0,47.5,32,65
13,1813-05-24,1813,38,38,0,3,45.5,47.5,34,67
14,1815-12-04,1815,35,35,0,3,45.0,45.3,31,65
15,1817-12-01,1817,42,42,0,5,46.0,46.4,31,63
16,1819-12-06,1819,43,43,0,4,46.0,46.7,29,65
17,1821-12-03,1821,48,48,0,4,46.0,46.9,31,66
18,1823-12-01,1823,47,47,0,5,48.0,48.9,32,71
19,1825-12-05,1825,48,48,0,4,48.5,48.8,31,73
20,1827-12-03,1827,48,48,0,3,47.0,48.6,33,75
21,1829-12-07,1829,49,49,0,1,48.0,48.6,33,77
22,1831-12-05,1831,51,51,0,2,49.0,48.6,35,79
23,1833-12-02,1833,51,51,0,2,47.0,47.9,33,72
24,1835-12-07,1835,47,47,0,0,49.0,48.3,34,74
25,1837-09-04,1837,55,55,0,0,50.0,48.6,32,75
26,1839-12-02,1839,48,48,0,0,50.5,50.0,35,66
27,1841-05-31,1841,51,51,0,0,47.0,48.9,32,68
28,1843-12-04,1843,54,54,0,2,48.0,49.4,36,70
29,1845-12-01,1845,60,60,0,2,49.0,50.1,32,68
30,1847-12-06,1847,59,59,0,2,50.0,50.0,34,66
31,1849-12-03,1849,63,63,0,1,51.0,51.1,34,72
32,1851-12-01,1851,60,60,0,2,49.5,50.4,36,74
33,1853-12-05,1853,64,64,0,2,49.5,50.8,36,71
34,1855-12-03,1855,60,60,0,2,49.0,51.1,33,73
35,1857-12-07,1857,66,66,0,2,48.5,51.1,35,72
36,1859-12-05,1859,67,67,0,2,49.0,50.2,37,73
37,1861-07-04,1861,67,67,0,0,49.0,49.8,34,70
38,1863-12-07,1863,54,54,0,1,49.0,50.6,33,72
39,1865-12-04,1865,52,52,0,1,50.0,51.5,35,74
40,1867-03-04,1867,54,54,0,1,50.5,50.4,36,74
41,1869-03-04,1869,67,67,0,0,48.0,49.3,32,69
42,1871-03-04,1871,75,75,0,0,50.0,50.7,34,71
43,1873-12-01,1873,74,74,0,0,50.0,51.3,31,74
44,1875-12-06,1875,75,75,0,0,51.0,52.0,33,76
45,1877-10-15,1877,81,81,0,0,52.0,52.5,35,78
46,1879-03-18,1879,79,79,0,0,53.0,53.4,38,69
47,1881-12-05,1881,81,81,0,0,54.0,53.8,40,71
48,1883-12-03,1883,76,76,0,0,54.0,54.2,35,73
49,1885-12-07,1885,79,79,0,0,56.0,55.7,37,75
50,1887-12-05,1887,77,77,0,0,57.0,57.1,39,77
51,1889-12-02,1889,83,83,0,0,58.0,58.2,41,79
52,1891-12-07,1891,89,89,0,0,57.0,57.1,37,81
53,1893-08-07,1893,88,88,0,0,57.0,57.3,38,83
54,1895-12-02,1895,89,89,0,0,57.0,56.6,32,85
55,1897-03-15,1897,91,91,0,0,56.0,55.7,33,86
56,1899-12-04,1899,86,86,0,0,56.5,56.6,36,78
57,1901-12-02,1901,87,87,0,0,58.0,57.8,39,80
58,1903-11-09,1903,90,90,0,0,59.0,59.1,41,82
59,1905-12-04,1905,88,88,0,0,58.0,58.2,38,84
60,1907-12-02,1907,91,91,0,0,56.0,57.7,36,83
61,1909-03-15,1909,92,92,0,0,57.0,57.4,38,79
62,1911-04-04,1911,91,91,0,0,56.0,56.6,31,81
63,1913-04-07,1913,96,96,0,0,56.0,56.6,33,83
64,1915-12-06,1915,96,96,0,0,57.0,57.3,36,78
65,1917-04-02,1917,96,96,0,0,55.5,56.3,37,80
66,1919-05-19,1919,96,96,0,0,57.0,56.3,37,76
67,1921-04-11,1921,95,95,0,0,58.0,57.1,39,78
68,1923-12-03,1923,96,96,0,0,58.0,57.1,39,79
69,1925-12-07,1925,96,96,0,0,57.0,57.1,30,81
70,1927-12-05,1927,95,95,0,0,58.0,57.6,32,83
71,1929-04-15,1929,96,96,0,0,58.0,57.9,34,84
72,1931-12-07,1931,94,94,0,0,57.0,58.3,36,74
73,1933-03-09,1933,94,94,0,0,57.0,56.9,35,75
74,1935-01-03,1935,96,96,0,0,58.0,57.1,29,76
75,1937-01-05,1937,94,94,0,0,59.0,57.5,31,79
76,1939-01-03,1939,96,96,0,0,60.0,57.6,33,80
77,1941-01-03,1941,95,95,0,0,58.0,57.5,34,82
78,1943-01-06,1943,96,96,0,0,58.0,58.1,37,85
79,1945-01-03,1945,96,96,0,0,59.5,58.5,39,86
