congress,convened,bioguide,name,state,senate_class,party,party_raw
1,1789-03-04,G000403,William Grayson,VA,1,Democratic-Republican,Anti-Administration
1,1789-03-04,I000053,Ralph Izard,SC,3,Federalist,Pro-Administration
1,1789-03-04,H000508,John Henry,MD,3,Federalist,Pro-Administration
2,1791-10-24,I000053,Ralph Izard,SC,3,Federalist,Pro-Administration
2,1791-10-24,H000508,John Henry,MD,3,Federalist,Pro-Administration
3,1793-12-02,I000053,Ralph Izard,SC,3,Federalist,Pro-Administration
3,1793-12-02,E000075,John Edwards,KY,3,Democratic-Republican,Anti-Administration
3,1793-12-02,M000166,Alexander Martin,NC,2,Republican,Republican
3,1793-12-02,H000508,John Henry,MD,3,Federalist,Pro-Administration
4,1795-12-07,M000166,Alexander Martin,NC,2,Republican,Republican
4,1795-12-07,W000114,George Walton,GA,2,Federalist,Federalist
4,1795-12-07,B000563,Timothy Bloodworth,NC,3,Republican,Republican
4,1795-12-07,H000508,John Henry,MD,3,Federalist,Federalist
4,1795-12-07,M000155,Humphrey Marshall,KY,3,Federalist,Federalist
4,1795-12-07,R000092,Jacob Read,SC,3,Federalist,Federalist
5,1797-05-15,M000166,Alexander Martin,NC,2,Republican,Republican
5,1797-05-15,B000563,Timothy Bloodworth,NC,3,Republican,Republican
5,1797-05-15,H000508,John Henry,MD,3,Federalist,Federalist
5,1797-05-15,M000155,Humphrey Marshall,KY,3,Federalist,Federalist
5,1797-05-15,R000092,Jacob Read,SC,3,Federalist,Federalist
5,1797-05-15,H000982,John Hunter,SC,2,Republican,Republican
5,1797-05-15,L000120,John Laurance,NY,3,Federalist,Federalist
5,1797-05-15,T000052,Josiah Tattnall,GA,2,Republican,Republican
5,1797-05-15,L000377,James Lloyd,MD,3,Federalist,Federalist
6,1799-12-02,B000563,Timothy Bloodworth,NC,3,Republican,Republican
6,1799-12-02,M000155,Humphrey Marshall,KY,3,Federalist,Federalist
6,1799-12-02,R000092,Jacob Read,SC,3,Federalist,Federalist
6,1799-12-02,L000120,John Laurance,NY,3,Federalist,Federalist
6,1799-12-02,L000377,James Lloyd,MD,3,Federalist,Federalist
6,1799-12-02,C000572,William Cocke,TN,2,Republican,Republican
7,1801-12-07,C000572,William Cocke,TN,2,Republican,Republican
7,1801-12-07,C000627,John Ewing Colhoun,SC,3,Republican,Republican
7,1801-12-07,W000392,Samuel White,DE,1,Federalist,Federalist
8,1803-10-17,C000572,William Cocke,TN,2,Republican,Republican
8,1803-10-17,S000567,John Smith,OH,1,Republican,Republican
8,1803-10-17,W000392,Samuel White,DE,1,Federalist,Federalist
9,1805-12-02,S000567,John Smith,OH,1,Republican,Republican
9,1805-12-02,W000392,Samuel White,DE,1,Federalist,Federalist
9,1805-12-02,M000891,Andrew Moore,VA,1,Republican,Republican
10,1807-10-26,S000567,John Smith,OH,1,Republican,Republican
